序號,縣市,業者,品項,批號,有效日期
262,雲林縣,樺頻商行,益康大豆沙拉油 18L,20270411000408,2027.04.11
263,雲林縣,味王股份有限公司,益康大豆沙拉油 18KG,20270413000408,2027.04.13
264,雲林縣,南門食品原料有限公司,沙拉油 18L(福壽),C2150426P,2027.04.14
265,雲林縣,福懋興業股份有限公司職工福利委員會,環保鐵桶沙拉油-18Kg,2027040901,2027.04.09
266*,雲林縣,丞億貿易有限公司,一級黃豆油,202604081315,2026.10.04
267*,雲林縣,林O政,一級黃豆油,202604091315,2026.10.04
268,雲林縣,張O發,一級黃豆油,202604091315,2026.10.04
269,雲林縣,林O隆,一級黃豆油,202604091315,2026.10.04
270,雲林縣,峰妙商行,一級黃豆油,202604091315,2026.10.04
271,雲林縣,嘉盛農產行-門市,泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
272,雲林縣,誠泰食品有限公司,一級黃豆油,202604101315,2026.10.04
273,雲林縣,玉品實業有限公司,一級黃豆油,202604081315,2026.10.04
274*,雲林縣,南亞塑膠工業股份有限公司,一級黃豆油,202604081315,2026.10.04
275,雲林縣,久代商行,益康大豆沙拉油 18L,20270410000407,2027.04.10
276,雲林縣,廖O盛,一級黃豆油,202604081315,2026.10.04
277,嘉義市,萬泰大賣倉,金酥耐炸油-18L,2027040801,2027.04.08
278,嘉義市,海寶粉行,沙拉油 18L(福壽),C21504260,2027.04.14
278,嘉義市,海寶粉行,沙拉油 18L(福壽),C21604260,2027.04.15
278,嘉義市,海寶粉行,沙拉油 18L(福壽),C2160426P,2027.04.15
278,嘉義市,海寶粉行,沙拉油 18L(福壽),C22104260,2027.04.20
278,嘉義市,海寶粉行,沙拉油－塑桶 3L,C1140426K,2027.04.13
278,嘉義市,海寶粉行,沙拉油－塑桶 3L,C1160426K,2027.04.15
279,嘉義縣,升誠有限公司,泰山花生風味調和油2L*6入,2027100901,2027.10.09
280,嘉義縣,李O濱,泰山精選蔬菜油-3L*6,2027072506,2027.07.25
281,嘉義縣,鑫昌行銷有限公司,泰山精選蔬菜油-3L*6,2027072506,2027.07.25
281,嘉義縣,鑫昌行銷有限公司,泰山花生風味調和油2L*6入,2027100901,2027.10.09
281,嘉義縣,鑫昌行銷有限公司,泰山歐式果實精華調合油1.5L*6入,2027101301,2027.10.13
282,嘉義縣,私穀米店(謝O佑),益康烹調油(調合油),20270413000403,2027.04.13
